Time_step, Time, Epot, Ekin, Etot
123, 1.230000, -0.129013, 0.355568, 0.226555
124, 1.240000, -0.128935, 0.355495, 0.226559
125, 1.250000, -0.128857, 0.355421, 0.226564
126, 1.260000, -0.128778, 0.355347, 0.226569
127, 1.270000, -0.128698, 0.355272, 0.226573
128, 1.280000, -0.128618, 0.355196, 0.226578
129, 1.290000, -0.128537, 0.355120, 0.226583
130, 1.300000, -0.128456, 0.355043, 0.226587
131, 1.310000, -0.128374, 0.354966, 0.226592
132, 1.320000, -0.128292, 0.354889, 0.226597
133, 1.330000, -0.128209, 0.354810, 0.226602
134, 1.340000, -0.128125, 0.354732, 0.226607
135, 1.350000, -0.128041, 0.354652, 0.226611
136, 1.360000, -0.127956, 0.354573, 0.226616
137, 1.370000, -0.127871, 0.354492, 0.226621
138, 1.380000, -0.127785, 0.354411, 0.226626
139, 1.390000, -0.127698, 0.354330, 0.226631
140, 1.400000, -0.127611, 0.354248, 0.226636
141, 1.410000, -0.127524, 0.354165, 0.226641
142, 1.420000, -0.127436, 0.354082, 0.226647
143, 1.430000, -0.127347, 0.353998, 0.226652
144, 1.440000, -0.127258, 0.353914, 0.226657
145, 1.450000, -0.127168, 0.353830, 0.226662
146, 1.460000, -0.127077, 0.353744, 0.226667
147, 1.470000, -0.126986, 0.353659, 0.226673
148, 1.480000, -0.126895, 0.353572, 0.226678
149, 1.490000, -0.126802, 0.353486, 0.226683
150, 1.500000, -0.126710, 0.353398, 0.226689
151, 1.510000, -0.126617, 0.353310, 0.226694
152, 1.520000, -0.126523, 0.353222, 0.226699
153, 1.530000, -0.126428, 0.353133, 0.226705
154, 1.540000, -0.126334, 0.353044, 0.226710
155, 1.550000, -0.126238, 0.352954, 0.226716
156, 1.560000, -0.126142, 0.352863, 0.226721
157, 1.570000, -0.126046, 0.352772, 0.226727
158, 1.580000, -0.125948, 0.352681, 0.226732
159, 1.590000, -0.125851, 0.352589, 0.226738
160, 1.600000, -0.125753, 0.352496, 0.226744
161, 1.610000, -0.125654, 0.352403, 0.226749
162, 1.620000, -0.125555, 0.352310, 0.226755
163, 1.630000, -0.125455, 0.352216, 0.226761
164, 1.640000, -0.125354, 0.352121, 0.226767
165, 1.650000, -0.125254, 0.352026, 0.226773
166, 1.660000, -0.125152, 0.351931, 0.226778
167, 1.670000, -0.125050, 0.351834, 0.226784
